Timestamp,"Once it is available, do you intend to get the vaccine for COVID-19?",Have you received a positive test for COVID-19 since the start of the pandemic? ,"Do you know someone personally who has tested positive for COVID-19? (family member, close friend, etc.)",Have you received a flu shot in the past 12 months?,"Where do you typically go to get your vaccines? (This can include all vaccines such as flu, TDAP, Hepatitis A, HPV, etc.)","Do you have pre-existing conditions that would make COVID-19 infection more severe? (cancer, diabetes, high blood pressure, etc.)",Do you regularly wear a mask in public? ,What is your main source for updated information pertaining to COVID-19?,What do you see as a barrier or risk for you when deciding whether to get the COVID-19 vaccine? You can choose more than one or fill out the 'Other' option. ,I am at risk for contracting COVID-19.,COVID-19 can be a serious disease. ,The COVID-19 vaccine will prevent me from contracting COVID-19. ,There are many risks associated with getting the COVID-19 vaccine.,What is your age in years?,What is your race/ethnicity? You can choose more than one or fill out the 'Other' option.,What is the highest degree or level of school you have completed?,State of Residence ,Which gender identity do you most identify?,Which most closely aligns with your political beliefs?
10/2/20 15:19,Yes,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)",Safety concerns with the vaccine/side effects,Disagree,Stongly Agree,Agree,Neutral,22,Caucasian,Bachelor's Degree,Missouri,Male,Very Liberal
10/2/20 15:20,Yes,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",Yes,Yes,CDC,"Safety concerns with the vaccine/side effects, Cost of the Vaccine",Agree,Stongly Agree,Agree,Neutral,24,Asian,Graduate School,Virginia,Female,Very Liberal
10/2/20 15:20,Yes,No,No,Yes,worksite,No,Yes,Newspaper,potential ineffectiveness,Disagree,Agree,Agree,Disagree,54,Caucasian,Graduate School,Missouri,Female,Somewhat Liberal
10/2/20 15:21,Don't Know/Not sure,No,Yes,No,Primary Care Doctor,Yes,Yes,Non-Main Stream Media,Safety concerns with the vaccine/side effects,Neutral,Agree,Neutral,Neutral,24,Caucasian,Bachelor's Degree,Virginia,Male,Very Liberal
10/2/20 15:23,Yes,No,Yes,Yes,Primary Care Doctor,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Agree,Disagree,22,Caucasian,Bachelor's Degree,Missouri,Female,Mixed
10/2/20 15:28,Yes,No,Yes,Yes,Local Health Department,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Agree,Disagree,22,White or Caucasian,Bachelor's Degree,Missouri,Female,Very Liberal
10/2/20 15:28,Don't Know/Not sure,No,Yes,No,Primary Care Doctor,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)",Safety concerns with the vaccine/side effects,Neutral,Stongly Agree,Neutral,Neutral,22,White or Caucasian,Bachelor's Degree,Mississippi,Female,Mixed
10/2/20 15:35,Yes,No,Yes,Yes,Primary Care Doctor,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)",Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Agree,Neutral,22,White or Caucasian,Some college/Associate's Degree,Missouri,Female,Very Liberal
10/2/20 15:38,Don't Know/Not sure,No,Yes,Yes,Local Health Department,Yes,Yes,"State/local health departments, federal agencies, local news ",Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Agree,Neutral,33,White or Caucasian,Graduate School,Missouri,Male,Somewhat Liberal
10/2/20 15:51,No,No,No,Yes,Local Health Department,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","Safety concerns with the vaccine/side effects, Concerned about getting COVID from the vaccine, Don't like needles and shots, Don't believe the vaccine will work",Neutral,Agree,Strongly Disagree,Agree,20,White or Caucasian,"High school graduate, GED",Missouri,Female,Mixed
